Aadith
Fieder
Fifer
Fink
Finkelstein
Finker
Finzi
Fiorentino
Fimberg
Fischbein
Fischer
Fischi
Fischmann
Fiz
Flack
Flaschel
Fleischer
Fleischner
Foà
Fodor
Foligno
Fonseca
Fontanella
Forlì
FormIggini
Fornari
Forti
Franchetti
Franco
Frank
Frankental
Frankl
Franzes
Frascati
Frassinetti
Freiberger
Freisinger
Frenkel
Fresco
Freund
Fried
Friedenthal
Friedlaender
Friedmann
Fries
Frizzi
Frischmann
Fruchter
Fuà
Fubini
Fuchs
Funaro
Fuerst
Gabbai
Gabriel
Gaensler Frankenstein
Gaggio
Gori
Galinidi
Galletti
Galli
Gallichi
Gallico
Galligo
Gandus
Gani
Garda
Gassen
Garza
Gasperini
Gattegno
Gattinara
Gazes
Geddes
Geller
Gemelli
Genazzani
Gentili
Gentilli
Gentiluomo
Gerold
Gerstel
Gerstenfeld
Gesess
Gerschanovitz
Ghersfeld
Ghiron
Ghissin
Giaconi
Giavol
Ginzburg
Giovanelli
Giroux
Giuili
Giuli
Glanz
Glass
Glattstein
Glicenstein
Glueck
Godell
Goetz
Goetzel
Goldbacher
Goldberg
Goldberger
Goldenberg
Goldfinger
Goldfrucht
Goldmann
Goldring
Goldschmiedt
Goldstein
Goldstaub
Golembiovski
Gomel
Gondelmann
Goudstikker
Graf
Granichstaedten
Grassetti
Grassini
Graziani
Greco
Greco-Siglina
Grego
Greiger
Gronich
Gruen
Gruenbaum
Gruenberg
Gruenland
Gruener
Gruenfeld
Gruenwald
Gruss
Guagnacchi
Guetta
Gugenheim
Guggenheim
Guglielmi
Gurewitsch
Gutierrez
Guttmann
Haardt
Haas
Haber
Hackl
Hagmann
Hahn
Haim
Haimovici
Haimovitsch
Hajek
Hajon
Hakin
Califfi
Hamburger
Harmer
Hamania
Hanau
Handler
Hanemann Toff
Hanen
Harrari
Hasdà
Hassan
Hassid
Hasson
Haussmann
Hasan
Heilbrunn
Heimann
Heinhorn
Heischmann
Heitler
Helfer
Hepner
Herbatschek
Herbert
Herlitzka
Hersch
Herschmann
Herzer
Hirschfeld
Hirsch
Herzod
Hochwald
Hodara
Holberg
Hollaender
Hollinger
Honig
Hoenisberg
Horitzky Orsini
Horn
Horniker
Horovici
Horvat
Huesca
Hupperi
Ichainer
Illes
Isciaki
Ismalun
Israel
Israeli
Issel
Issmann
Italia
Jacchia
Jacobson
Jacur
Jaffe
Jahni
Janowitz
Janni
Jarach
Jarè
Jenda
Jenina
Jenna
Jenni
Jesi
Jesurum
Jesullam
Job
Joffe
Johanan
Jolles
Jona
Jos
Joseph
Josz
Joung
Jules
Just
Kabiglio
Kach
Kagnaff
Kahn
Kajon
Kalk
Kalmus
Kaminka
Kaptan
Kasman
Kastenr
Katz
Lauffmann
Kaula
Keller
Kern
Kessler
Kirsch
Lorschen
Kitt
Klauber
Klein
Kleinzeller
Klippel
Klugmann
Koch
Kohn
Kohner
Kolb
Koltzinsky
Koenigsberger
Konti
Konrad
Korn
Kornell
Kornfeld
Koschiltzki
Kostoris
Krassner
Kraus
Krauterkraft
Kreb
Kreli
Kreilsheim
Kremer
Kron
Kries
Krikunetz
Kron
Kropf
Kruskali
Krzentowski
Kuehn
Lacis
Lackenbacher
Lacomba
Laden
Lager
Laide
Lakin
Lamberg
Lampronti
Landesmann
Laudi
Landau
Langbank
Lanternari
Lanzana
Lapajowker
Lappert
Lascar
Lassejower
Laz
Latis
Lattes
Latzer
Lavagno
Leblis
Lebreclit
Lecerf
Lechner
Lenner
Lee
Leipziger
Lekner
Lenghi
Lennox
Leone
Leoni
Leonino
Leonzini
Leperer
Lessmann
Levi
Levi Bianchini
Levibran
Levi-Cases Momigliano
Levi de Veali
Levi Minzi
Levin
Levis
Levitsch
Lewish
Levy
Lewy
Lichtenstadt
Lichtenstein
Lieblein
Liebmann
Limentani
Lindemer
Linder
Lipschuetz
Liscia
Liuzzi
Livoli
Lob
Locascio-Goldschmiedt
Lodeserto
Loeb
Loeffler
Loevy
Loewy
Loisada
Lolli
Lombroso
Lopes
Lopez
Lopez-Rabello
Lorant
Loria
Loschitz
Loethe
Loevinson
Loew
Loewental
Loewenthal
Loewinson
Loewy
Luft
Luftschuetz
Luisada
Lumbroso
Luria
Lesena
Lust
Lustig
Lutomirsky
Luttinger
Luzzatti
Luzzatto
Macchioro
Macerata
Maendl
Maestri
Maestro
Magrini
Mahlberg
Maimann
Maino
Maionica
Maissa
Majò
Malvano
Manara
Manasse
Mandel
Mandelberg
Mandler
Mandula
Mangold
Mann
Mannheimer
Marach
Marcaria
Marcherai
Marcus
Margulies
Mariani
Marino
Marini
Mariotti
Maroni
Marradi
Marsiglio
Massa
Massarani
Massarek
Massiali
Matalon
Mattatia
Mattersdorfer
Mautner
Mayer
Mazzola
Mazoleni
Medina
Medvedieff
Medoro
Meinster
Melgrano
Melli
Menasci
Mendel
Mendes
Menz
Merkl
Mesha
Mestre
Michelis
Michelstaedter
Mieli
Migliau
Milano
Milla
Millul
Minerbi
Mingardi
Mires
Misau
Misan-Saia
Misano
Misul
Misrahi
Modena
Modiano
Modigliani
Modigliano
Modana
Moeller
Moisè
Molco
Molnar
Momigliani
Momigliano
Mondolfi
Mondolfo
Mondovì
Monferini
Monreale
Monselice
Monselles
Montag
Montagnana
Montalcini
Montalcino
Montalti
Montebarozzi
Montecorboli
Montefiore
Montefiori
Montel
Montiglia
Morais
Moravia
Mordo
Mordohm Morel
Morelli
Morello
Moreno
Moreschi
Moresco
Moretti
Morgenstern
Mori
Moroni
Morpurgo
Mortara
Mortera
Morway
Moscato
Moscè
Moskowitz
Moully
Mrad Esses
Mosseri
Muggia
Mugnai
Muehlstein
Muia
Muelberg
Mueller
Musacchi
Musatti
Musafia
Mustacchi
Naar
Nacamù
Nacamulli
Nacmias
Nacson
Nador
Najschitz
Nahon
Nahum
Naim
Namen
Namer
Nathan
Navara
Navarra
Navarro
Negrini
Neiger
Nepi
Neppi
Neri
Neppi Modana
Neris
Netter
Neumann
Nibal Raimondi
Nigris
Nissim
Nizza
Nordlinger
Norlenghi
Norsa
Norzi
Nossal
Nunes
Nunes Franco
Nunes Vais
Nuernberg
Nussbaum
Oberdorfer
Oblath
Ocvirk
O’Hara
Ohlen
Olivieri
Olivetti
Olper
Olschki
Oppenheim
Orefice
Orefice
Orefici
Ortona
Orvieto
Oser
Osimo
Osmo
Osta
Oesterreicher
Ottolenghi
Ottolenghi Boccata
Ottolenghi di Vallepiana
Ovazza
Pace
Pacifici
Padoa
Padova
Padovani
Padovano
Paggi
Panerai
Panieri
Paoli
Paper
Pardo
Pardo-Roques
Parente
Parenzo
Passigli
Pattin
Pavia
Pavoncello
Pegna
Perez
Perlmutter
Permutti
Perpetui
Perugina
Pesaro
Pesaro Maurogonato
Pescarolo
Philipson
Piattelli
Piazza
Picard
Picciacci
Picciaccio
Pick
Pieboni
Piesen
Pignoro
Piha
Pincherle
Pinto
Piperno
Pines
Pirani
Pirola
Pisa
Pisanty
Pisetzy
Pisinger
Pitigliani
Pitteri
Plankenstein
Plaskis
Platzek
Plaschkier
Poggetto
Poggibonsi
Poggiolini
Polacco
Poliakoff
Politi
Politzer
Pollak
Pomeranz
Pontecorboli
Pontecorvo
Pontremoli
Popper
Porges
Porta
Portaleon
Portaleone
Portnoff
Porto
Post
Pozinak
Prato
Pregel
Pressburger
Priester
Procaccia
Prohatzka
Provenzal
Pugliese
Puritz
Puttermann
Putti
Quercioli
Rabà
Rabbino
Rabello
Rabinovici
Racah
Radau
Raffael
Raffaelli
Rahmin
Ramm Randegger
Rappaport
Rath
Ravà
Ravà Longhi
Ravenna
Ravicz
Reah
Recanati
Reder
Redzinsky
Reeson
Reggio
Reghini
Reich
Reichenbach
Reichmann
Reinach
Reiner
Reinert
Reinhardt
Reinisch
Reis
Reiser
Reiss
Reissner
Remondini
Renier
Resignani
Restani
Reuben
Revan
Revere
Revici
Riboni
Richetti
Richtmann
Riedler
Rieger
Rieti
Rietti
Rignano
Riftin
Rimini
Rocca
Roccas
Rodriguez
Rogant
Rogers
Roumann
Romanelli
Romani
Romanin
Romanin Jacur
Romano
Romoli
Roques
Rosel
Rosen
Rosenberg
Rosenfeld
Rosenholz
Rosenstein
Rosenthal
Rosenzweig
Rosselli
Rossi
Rotbart
Roth
Rouff
Rouzel
Rovighi
Rubert
Rubinstein
Rudoi
Russi
Sabatello
Sabbadini
Sacerdote
Sacerdoti
Sacerdotti
Sacerdotti di Carobbio
Sachs
Sacuto
Sadok
Sadun
Saadun
Saffaro
Sagà
Saiegh
Salem
Salmon
Salmona
Salmoni
Salom
Salonicchio
Saltiel
Salto
Salus
Samara
Sambulovich
Samuele
Sancò
Sanguinetti
Sanguski
Santillana
Saporta
Saralvo
Sarasson
Saraval
Saravalle
Sarfatti
Sariette
Sarsowski
Sasson
Savani
Saxel
Scazzocchio
Scandiani
Scaramella
Scarpa
Schjowitz
Schalmon
Schamasch
Schapira
Schaerf
Schick
Schiffer
Schiller
Schischa
Schlesinger
Schloss
Schmitz
Schinoltz
Schmukler
Schnur
Schoen
Schoenfeld
Schoenhaut
Schoenheit
Schoenstein
Schor
Schostal
Schotte
Schreiber
Schrelder
Schultz
Schunnach
Schuessler
Schuetz
Schwartz
Schwartzkopf
Schweiger
Schwob
Sciaky
Scitrug
Sciunnach
Sdraffa
Sed
Sefardi
Segal
Segrè
Seidel
Seidmann
Seif
Semak
Semania
Semo
Senigaglia
Senigallia
Sepilli
Serena
Sereni
Sereno
Sergi
Sermoneta
Serravalle
Serrera
Servadio
Servi
Sessa
Sessi
Sestieri
Sforni
Sermann
Siccoli Bondì
Siebzehner
Sierra
Silbermann
Silva
Sivera
Sinai
Singer
Sitri
Sivaja
Smolensky
Smolesco
Soarez
Soliani
Soavi
Somenzi
Sommer
Sommermann
Sonne
Sonnnberger
Sonnino
Sorani
Sorbi
Soria
Sornaga
Sorraga
Soschino
Spagnoletto
Spagnolo
Specos
Spiegel
Spierer
Spitilli
Spitz
Spitzer
Spizzichino
Sprinzeles
Sraffa
Stein
Steindler
Stenhardt
Stern
Steinhaus
Sternberg
Sternfeld
Sternschuss
Stettner
Stipanowitsch
Stock
Straaten
Stransky
Strossberg
Stucovitz
Stuetzel
Suarez
Subak
Subert
Sullam
Sulmona
Sun
Supino
Susani
Susin
Suess
Suessland
Sviadoschitz
Szabados
Szanatoilsky
Szeynberg
Szirmay
Tabet
Tagger
Tagiuri
Tagliacozzo
Tailor
Tajar
Tannenbaum
Taenzer
Taubert
Taussig
Tazartes
Tedeschi
Tedesco
Teglio
Teichner
Temin
Terni
Terracina
Terracini
Tesoro
Teubal
Tewick
Thuretzky
Tiano
Tivoli
Toaff
Todeschini
Todesco
Todros
Toledano
Tolentino
Tolosa
Torres
Toscano
Toschi
Tramer
Treulich
Treves
Treves de’ Bonfili
Trevi
Trevis
Trieste
Trietsch
Trionfo
Turba
Tuerk
Turra
Udine
Ullmann
Umano
Ungar
Urbini
Urbino
Urovitz
Usigli
Usiglio
Uziel
Uzielli
Valabrega
Valch
Valensin
Valenti
Valentin
Valenzin
Valobra
Valmarano
Valmarin
Varadi
Varios
Varsano
Velicogna
Venezia
Veneziani
Veneziano
Ventura
Vercelli
Veroli
Verona
Verreano
Vigdorcik
Vigevani
Vigevano
Vilcher
Vita
Vitta
Vitale
Vitalevi
Vitali
Viterbi
Viterbo
Vitta Zelmann
Vivante
Vivanti
Vovante
Vogel
Vogelmann
Vogler
Voghera
Volli
Volterra
Vretermann
Vucenovich
Wachsmann
Walch
Wallfisch
Waschitz
Wassermann
Wax
Wehli
Weichsel
Weiger
Weil
Weiller
Weil-Schott
Weinstein
Weisberg
Weischel
Weishut
Weiss
Weiss Dodi
Weisser
Weissmann
Weizmann
Weleminsky
Welisch
Werblowsky
Wernikoff
Wilhelm
Windspach
Winternitz
Wohl
Wolf
Wolfler
Wolff
Wolfsohn
Wollemborg
Wollner
Wolner
Wortmann
Zabban
Zaccaria
Zaccuti
Zacun
Zacutti
Zagdun
Zalai
Zalman-Finzi
Zamatto
Zamorani
Zanotti
Zarfati
Zargani
Zarzovsky
Zebolun
Zeller
Zelman
Zemanek
Zevi
Zibell
Zibren
Ziffer
Zipper
Zitrin
Zmigrod
Zoller
Zuccai
Zuckermann
Zurk
Zweig
Zwillinger
